Date/Time,THERMAL ZONE 1:Zone Air System Sensible Heating Rate [W](Hourly),THERMAL ZONE 1:Zone Air System Sensible Cooling Rate [W](Hourly),THERMAL ZONE 1:Zone Air Temperature [C](Hourly),THERMAL ZONE 1:Zone Air Relative Humidity [%](Hourly) 
 01/21  02:00:00,721.6008718,0,20,32.8734238
 01/21  03:00:00,720.2436442,0,20,32.87342351
 01/21  04:00:00,714.434247,0,20,32.8734238
 01/21  05:00:00,705.2577201,0,20,32.8734239
 01/21  06:00:00,694.5293843,0,20,32.8734238
 01/21  07:00:00,683.3495137,0,20,32.87342361
 01/21  08:00:00,672.2788615,0,20,32.8734238
 01/21  09:00:00,661.5857195,0,20,32.8734238
 01/21  10:00:00,651.3873319,0,20,32.87342351
 01/21  11:00:00,641.7250107,0,20,32.8734239
 01/21  12:00:00,632.6020632,0,20,32.87342419
 01/21  13:00:00,624.0035977,0,20,32.8734237
 01/21  14:00:00,615.9064042,0,20,32.8734238
 01/21  15:00:00,608.2839773,0,20,32.87342341
 01/21  16:00:00,601.1099557,0,20,32.87342341
 01/21  17:00:00,594.3574281,0,20,32.873424
 01/21  18:00:00,587.999845,0,20,32.87342351
 01/21  19:00:00,582.0130952,0,20,32.87342341
 01/21  20:00:00,576.3735955,0,20,32.87342361
 01/21  21:00:00,571.0593855,0,20,32.8734237
 01/21  22:00:00,566.0503603,0,20,32.8734237
 01/21  23:00:00,561.3282272,0,20,32.8734239
 01/21  24:00:00,556.8745175,0,20,32.8734239
 01/21  01:00:00,182.568918,0,20,65.73706157
 01/21  02:00:00,182.6827116,0,20,65.73706041
 01/21  03:00:00,182.7920584,0,20,65.73706118
 01/21  04:00:00,182.8971313,0,20,65.73706196
 01/21  05:00:00,182.9980963,0,20,65.73706157
 01/21  06:00:00,183.0951133,0,20,65.73706079
 01/21  07:00:00,183.1883359,0,20,65.73706157
 01/21  08:00:00,183.2779118,0,20,65.73706176
 01/21  09:00:00,183.3639829,0,20,65.73706079
 01/21  10:00:00,183.4466858,0,20,65.73706099
 01/21  11:00:00,183.5261517,0,20,65.73706099
 01/21  12:00:00,183.6025069,0,20,65.73706079
 01/21  13:00:00,183.6758726,0,20,65.73706099
 01/21  14:00:00,183.7463655,0,20,65.73706041
 01/21  15:00:00,183.8140976,0,20,65.73706138
 01/21  16:00:00,183.8791768,0,20,65.73706079
 01/21  17:00:00,183.9417065,0,20,65.73706138
 01/21  18:00:00,184.0017864,0,20,65.73706138
 01/21  19:00:00,184.0595122,0,20,65.73706099
 01/21  20:00:00,184.1149758,0,20,65.73706176
 01/21  21:00:00,184.1682657,0,20,65.73706079
 01/21  22:00:00,184.2194669,0,20,65.73706118
 01/21  23:00:00,184.2686609,0,20,65.73706118
 01/21  24:00:00,184.3159264,0,20,65.73706118
 01/21  01:00:00,415.4518892,0,20,27.72652311
 01/21  02:00:00,415.7676551,0,20,27.72652303
 01/21  03:00:00,416.0699352,0,20,27.72652327
 01/21  04:00:00,416.3593028,0,20,27.72652327
 01/21  05:00:00,416.6363068,0,20,27.72652336
 01/21  06:00:00,416.9014734,0,20,27.72652336
 01/21  07:00:00,417.1553064,0,20,27.72652311
 01/21  08:00:00,417.3982883,0,20,27.72652327
 01/21  09:00:00,417.6308813,0,20,27.72652327
 01/21  10:00:00,417.8535282,0,20,27.72652368
 01/21  11:00:00,418.0666529,0,20,27.72652327
 01/21  12:00:00,418.2706614,0,20,27.72652311
 01/21  13:00:00,418.4659425,0,20,27.72652303
 01/21  14:00:00,418.6528686,0,20,27.72652352
 01/21  15:00:00,418.8317962,0,20,27.72652344
 01/21  16:00:00,419.0030668,0,20,27.72652319
 01/21  17:00:00,419.1670073,0,20,27.72652319
 01/21  18:00:00,419.3239307,0,20,27.72652327
 01/21  19:00:00,419.4741369,0,20,27.72652352
 01/21  20:00:00,419.6179127,0,20,27.72652311
 01/21  21:00:00,419.755533,0,20,27.72652336
 01/21  22:00:00,419.887261,0,20,27.72652327
 01/21  23:00:00,420.0133484,0,20,27.72652344
 01/21  24:00:00,420.1340364,0,20,27.72652319
 01/01  01:00:00,0,0,17.60753883,34.57635256
 01/01  02:00:00,0,0,17.21099462,26.97688414
 01/01  03:00:00,0,0,16.96368306,23.70710546
 01/01  04:00:00,0,0,16.85672345,22.90244314
 01/01  05:00:00,0,0,16.83532674,24.132766
 01/01  06:00:00,0,0,16.72335003,24.49426893
 01/01  07:00:00,278.483022,0,20.04422153,21.24135437
 01/01  08:00:00,226.7519481,0,20,22.74594444
 01/01  09:00:00,226.5440503,0,20,22.48152584
 01/01  10:00:00,225.1848059,0,20,22.20026413
 01/01  11:00:00,216.9635844,0,20,23.41099986
 01/01  12:00:00,198.3123448,0,20,24.39289528
 01/01  13:00:00,166.5083516,0,20,25.33008098
 01/01  14:00:00,131.9161564,0,20,26.36438324
 01/01  15:00:00,98.42889885,0,20,24.7564923
 01/01  16:00:00,67.02066981,0,20,23.83284883
 01/01  17:00:00,42.28405223,0,20,24.60266132
