Date/Time,THERMAL ZONE 1:Zone Air System Sensible Heating Rate [W](Hourly),THERMAL ZONE 1:Zone Air System Sensible Cooling Rate [W](Hourly),THERMAL ZONE 1:Zone Air Temperature [C](Hourly),THERMAL ZONE 1:Zone Air Relative Humidity [%](Hourly) 
 01/21  14:00:00,373.6101352009037,0.0,20.0,65.73706157045805 
 01/21  15:00:00,373.67711874951596,0.0,20.0,65.73706059961032 
 01/21  16:00:00,373.7403305879692,0.0,20.0,65.73706118211896 
 01/21  17:00:00,373.7999827292753,0.0,20.0,65.73706079377988 
 01/21  18:00:00,373.8562753075066,0.0,20.0,65.73706079377988 
 01/21  19:00:00,373.9093972394451,0.0,20.0,65.73706118211895 
 01/21  20:00:00,373.95952684973656,0.0,20.0,65.73706059961032 
 01/21  21:00:00,374.0068324615406,0.0,20.0,65.73706079377986 
 01/21  22:00:00,374.05147295455356,0.0,20.0,65.73706137628851 
 01/21  23:00:00,374.093598292184,0.0,20.0,65.73706118211895 
 01/21  24:00:00,374.1333500195663,0.0,20.0,65.73706098794942 
 01/21  01:00:00,880.1512631081738,0.0,20.0,27.726523519572236 
 01/21  02:00:00,880.3816391376764,0.0,20.0,27.72652319198557 
 01/21  03:00:00,880.5985927483895,0.0,20.0,27.726523519572247 
 01/21  04:00:00,880.8029103733986,0.0,20.0,27.72652319198557 
 01/21  05:00:00,880.99533153544,0.0,20.0,27.726523191985546 
 01/21  06:00:00,881.1765517947697,0.0,20.0,27.72652335577888 
 01/21  07:00:00,881.3472254860496,0.0,20.0,27.726523191985546 
 01/21  08:00:00,881.5079682634605,0.0,20.0,27.726523273882208 
 01/21  09:00:00,881.6593594709632,0.0,20.0,27.72652335577887 
 01/21  10:00:00,881.8019443526293,0.0,20.0,27.72652302819218 
 01/21  11:00:00,881.93623611626,0.0,20.0,27.726523028192172 
 01/21  12:00:00,882.0627178620714,0.0,20.0,27.72652343767553 
 01/21  13:00:00,882.1818443869599,0.0,20.0,27.726523110088873 
 01/21  14:00:00,882.2940438737915,0.0,20.0,27.72652327388222 
 01/21  15:00:00,882.3997194742202,0.0,20.0,27.726523110088873 
 01/21  16:00:00,882.499250792712,0.0,20.0,27.72652294629553 
 01/21  17:00:00,882.5929952787662,0.0,20.0,27.72652311008887 
 01/21  18:00:00,882.6812895336691,0.0,20.0,27.726523191985546 
 01/21  19:00:00,882.7644505375945,0.0,20.0,27.726522946295518 
 01/21  20:00:00,882.8427768023666,0.0,20.0,27.726523028192208 
 01/21  21:00:00,882.9165494547584,0.0,20.0,27.72652335577891 
 01/21  22:00:00,882.9860332548315,0.0,20.0,27.726523519572265 
 01/21  23:00:00,883.0514775534745,0.0,20.0,27.726523355778916 
 01/21  24:00:00,883.1131171929753,0.0,20.0,27.72652311008888 
 01/01  01:00:00,0.0,0.0,19.1672883756524,31.3538251703198 
 01/01  02:00:00,0.0,0.0,18.20453731031434,25.30917540582377 
 01/01  03:00:00,0.0,0.0,17.424563073204958,23.010610343683155 
 01/01  04:00:00,0.0,0.0,16.83341595666813,22.933948265284748 
 01/01  05:00:00,0.0,0.0,16.40063326031271,24.80876236882101 
 01/01  06:00:00,0.0,0.0,15.919965942674613,25.782638207320606 
